Date,Close/Last,Volume,Open,High,Low
01/13/2025,$137.07,3343163,$137.00,$138.02,$134.63
01/10/2025,$140.49,3156713,$140.80,$141.88,$138.02
01/08/2025,$145.20,3418683,$142.34,$148.25,$142.23
01/07/2025,$144.38,5602824,$147.84,$148.45,$140.17
01/06/2025,$147.41,7056686,$142.79,$150.14,$142.79
01/03/2025,$141.08,7206802,$129.64,$141.45,$129.515
01/02/2025,$128.20,3747765,$124.995,$129.40,$124.995
12/31/2024,$123.36,2690240,$125.52,$126.54,$123.11
12/30/2024,$125.91,2719253,$126.655,$127.71,$124.82
12/27/2024,$129.20,2801559,$128.995,$130.26,$126.70
12/26/2024,$129.69,2524443,$130.90,$133.2999,$129.63
12/24/2024,$131.79,3464234,$127.46,$133.11,$127.20
12/23/2024,$126.87,8531427,$129.89,$130.25,$123.26
12/20/2024,$132.15,5601366,$129.66,$135.79,$128.3025
12/19/2024,$132.10,6153537,$137.01,$140.2099,$131.95
12/18/2024,$136.56,4255490,$143.50,$146.64,$134.345
12/17/2024,$142.80,6373774,$143.61,$144.00,$137.82
12/16/2024,$145.00,6443771,$153.00,$153.00,$142.04
12/13/2024,$151.91,8140439,$151.51,$156.40,$150.95
12/12/2024,$148.00,7249978,$142.00,$150.00,$140.70
12/11/2024,$143.16,4473108,$137.00,$144.3104,$136.7645
12/10/2024,$137.29,2826220,$138.65,$140.72,$135.83
12/09/2024,$139.64,3491704,$140.15,$143.20,$136.26
12/06/2024,$140.89,3394674,$138.145,$142.42,$136.63
12/05/2024,$137.95,4769912,$140.86,$142.46,$137.56
12/04/2024,$141.30,2959784,$142.50,$144.54,$141.06
12/03/2024,$140.38,3954636,$139.50,$142.2999,$139.44
12/02/2024,$140.34,5503965,$134.20,$141.40,$134.20
11/29/2024,$134.29,2491333,$133.04,$137.28,$132.59
11/27/2024,$133.37,5498108,$134.85,$135.35,$129.60
11/26/2024,$136.72,2605036,$139.51,$140.20,$135.60
11/25/2024,$139.68,4745683,$138.67,$142.24,$138.09
11/22/2024,$135.99,3330342,$132.00,$136.27,$131.45
11/21/2024,$133.14,4127617,$136.25,$138.20,$131.13
11/20/2024,$133.70,3913472,$131.02,$133.77,$130.0755
11/19/2024,$133.06,4051608,$128.50,$133.70,$127.89
11/18/2024,$128.66,5737329,$127.50,$130.11,$126.356
11/15/2024,$128.73,7740277,$133.17,$133.30,$126.81
11/14/2024,$136.35,4069480,$137.25,$138.7922,$134.8004
11/13/2024,$135.09,4945316,$139.57,$140.535,$135.07
11/12/2024,$139.92,4306975,$141.52,$143.12,$137.30
11/11/2024,$141.965,7446051,$145.95,$145.95,$138.70
11/08/2024,$147.48,6469780,$148.70,$149.12,$144.42
11/07/2024,$150.65,16365150,$140.00,$154.65,$139.51
11/06/2024,$144.68,10774420,$143.73,$146.06,$141.01
11/05/2024,$140.65,3635034,$139.00,$141.30,$138.33
11/04/2024,$137.53,3263574,$140.00,$142.50,$137.29
11/01/2024,$141.48,4716064,$144.17,$146.78,$140.62
10/31/2024,$141.30,7431878,$145.26,$146.23,$140.25
10/30/2024,$154.40,3784845,$152.50,$155.4777,$150.48
10/29/2024,$157.17,5317607,$150.00,$157.69,$148.28
10/28/2024,$150.02,5720588,$145.00,$152.58,$144.20
10/25/2024,$143.75,4425012,$142.00,$145.56,$141.50
10/24/2024,$141.04,5630347,$143.30,$143.59,$138.40
10/23/2024,$142.41,9708847,$147.80,$148.44,$140.70
10/22/2024,$152.58,2895964,$150.46,$152.94,$149.83
10/21/2024,$152.35,6025865,$152.195,$154.1133,$149.40
10/18/2024,$153.03,3404374,$155.565,$155.7399,$151.96
10/17/2024,$154.60,5959974,$157.71,$158.80,$154.09
10/16/2024,$152.50,5052062,$154.00,$155.20,$151.2942
10/15/2024,$150.67,9584294,$160.00,$160.62,$147.00
10/14/2024,$161.82,9073284,$153.10,$164.16,$153.10
10/11/2024,$151.46,3399021,$149.10,$152.30,$148.30
10/10/2024,$149.33,4341701,$146.24,$152.00,$145.02
10/09/2024,$148.43,5476059,$144.77,$148.64,$142.15
10/08/2024,$143.60,3690480,$141.56,$144.25,$140.8818
10/07/2024,$141.34,4763687,$139.48,$144.89,$139.11
10/04/2024,$140.55,3765664,$141.20,$142.00,$137.6001
10/03/2024,$138.24,3035369,$136.23,$141.44,$136.00
10/02/2024,$137.03,3884358,$136.61,$139.30,$132.80
10/01/2024,$136.08,6028077,$142.84,$144.39,$135.85
09/30/2024,$143.01,4037676,$140.96,$145.00,$140.62
09/27/2024,$145.58,4375076,$150.00,$150.75,$144.30
09/26/2024,$149.16,7025510,$152.00,$152.3896,$144.00
09/25/2024,$146.43,6406112,$143.30,$149.74,$143.16
09/24/2024,$143.30,4907715,$142.28,$144.6979,$139.72
